social_link,计数项:social_link,,
No,12373,Null,
http://www.facebook.com/nehaprakash05,1508,1084,Friends
https://twitter.com/samcmlaird,1467,9381,
http://www.facebook.com/franticnews,1457,921,Friends
https://www.facebook.com/twasserman,1326,43747,
http://www.facebook.com/sfiegerman,1282,Null,
http://www.facebook.com/17203324,1245,9001,
http://www.facebook.com/806411,1104,1133,
http://www.facebook.com/lorenzofb8,992,Null,
https://twitter.com/lauravitt0,840,2629,
http://www.facebook.com/petepachal,720,1807,
https://twitter.com/JasonAbbruzzese,700,11329,
https://www.facebook.com/bkurbs,683,188,
http://www.facebook.com/andrea.romano,683,778,Friends
https://www.facebook.com/app_scoped_user_id/7900159/,676,Null,
https://www.facebook.com/colin.daileda,578,686,Friends
http://www.facebook.com/lance.ulanoff,572,15000,
https://twitter.com/adariostrange,560,4628,
https://twitter.com/karissabe,556,14468,
https://www.facebook.com/futurechris,554,834,
http://www.facebook.com/anniecolbert,512,1148,
http://www.facebook.com/emilyaprice,478,1473,
https://www.facebook.com/brianries,474,1396,Friends
http://www.facebook.com/neeeda,425,10588,
http://www.facebook.com/alex.j.fitzpatrick,416,846,Friends
http://www.linkedin.com/pub/max-knoblauch/4a/b5/2bb,397,1172,
http://www.facebook.com/indvik,389,558463,
https://www.facebook.com/matt.petronzio,382,1093,
https://www.facebook.com/ceerickson,381,Null,
https://twitter.com/jessicaplautz,377,Null,
https://www.facebook.com/amanda.wills,363,1352,
https://twitter.com/FranBerkman,342,3439,
https://www.facebook.com/ericandrewlarson,305,139,
http://www.facebook.com/zoebfox,262,2405,
https://twitter.com/YohanaDesta,249,6955,
https://twitter.com/amagzz,201,676,
https://www.facebook.com/annieeepark,174,161,
https://twitter.com/meganspecia,167,14439,
https://www.facebook.com/camillealexisbautista,162,Null,
http://www.facebook.com/tempamatic,153,8184,
https://twitter.com/ElishaHartwig,146,2088,
http://www.facebook.com/daniellefankhauser,144,884,Friends
https://twitter.com/thecoppergirl,142,0,
http://www.linkedin.com/pub/melissa-goldin/62/793/193,132,926,
https://www.facebook.com/connor.finnegan.31,115,Null,
http://www.facebook.com/bob.algreene,108,137,
http://www.facebook.com/laurendrell,108,5941,
https://www.facebook.com/blathnaid,103,629,Friends
https://twitter.com/tricia_gilbride,99,1698,
https://twitter.com/rebeccahiscott#,94,3000,
https://twitter.com/StarsShineSweet,92,4,
https://twitter.com/ArmandTweets,88,7563,
https://twitter.com/kylisingh,88,1348,
http://www.facebook.com/matthewsilverman,87,2251,
https://twitter.com/mhess4,81,5933,
https://twitter.com/Eitanthegoalie,81,4592,
http://www.facebook.com/stephmbuck,80,2963,
https://www.twitter.com/briehiramine,77,708,
http://www.linkedin.com/pub/andrea-smith/4/64a/423,75,1301,
https://twitter.com/louiseroug,68,Null,
https://twitter.com/scottgerber,67,14378,
https://twitter.com/gracesmith,50,15124,
https://twitter.com/DeniseDSLu,49,4712,
https://twitter.com/AnnaGetsPithy,47,877,
http://www.facebook.com/1541910035,46,Null,
https://twitter.com/heyitsfranklin2,44,12325,
https://www.facebook.com/jeremy.cabalona,43,934,Friends
https://twitter.com/CorinneBags,41,1094,
http://www.facebook.com/profile.php?id=100002579805437,40,417,
https://www.facebook.com/corpnet/,40,45000,
https://twitter.com/jonathanellis,40,6253,
http://www.facebook.com/lauren.hockenson,32,514,
http://www.facebook.com/toddjolmstead,32,1110,Friends
https://twitter.com/montymunford,27,11047,
https://twitter.com/Quora,27,255980,
https://www.facebook.com/dustindustin,26,761,Friends
https://twitter.com/emjbanks,23,8761,
http://www.facebook.com/ericaswallow,22,2993,Friends
https://twitter.com/raywongy,20,20799,
https://twitter.com/nycjim,20,188416,
https://twitter.com/NinaFrazier,19,4019,
https://www.facebook.com/app_scoped_user_id/12315925/,19,Null,
https://twitter.com/flexjobs,18,322,
https://www.facebook.com/samuelaxon,18,93,
https://www.facebook.com/jacquidevaney,16,Null,
http://www.facebook.com/113204,16,327,
https://twitter.com/JeanaTahnk,14,5407,
https://www.facebook.com/biancaconsunji,14,2795,Friends
http://www.linkedin.com/pub/veena-bissram/6/104/49a,14,Null,
http://www.facebook.com/valleygirlshow,13,Null,
https://twitter.com/rebecca_ruiz,13,5997,
https://twitter.com/hrbartender,11,75137,
http://www.facebook.com/sparkhire?ref=ts&__adt=3&__att=iframe,10,3207,
https://www.facebook.com/casualdiamond,9,Null,
https://twitter.com/rachel_arthur,7,8497,
https://twitter.com/leylblack,7,3205,
https://twitter.com/sethporges,6,11035,
https://twitter.com/BenTavener,6,5373,
https://twitter.com/johnchavens,6,15929,
http://twitter.com/ericacerulo,6,1660,
https://twitter.com/comerecommended,6,7855,
https://twitter.com/CasJam,6,9207,
https://twitter.com/Adobe,6,974665,
https://twitter.com/uri_blau,5,9645,
http://www.facebook.com/stacygreen,5,354,
http://www.facebook.com/catone,5,1606,
https://twitter.com/MaxBlau,4,9482,
http://www.linkedin.com/company/careershift-llc,4,2000,
https://twitter.com/Sudyb,4,1478,
https://twitter.com/pilrimkim,4,Null,
http://twitter.com/mvolpe,4,69521,
https://twitter.com/robinr,4,4889,
https://twitter.com/irisist,4,616,
http://www.facebook.com/robyn.peterson,4,1334,
https://twitter.com/jo_miller,4,3,
https://twitter.com/eamonncarey,3,8964,
http://www.twitter.com/briansolis,3,262332,
http://twitter.com/broteling,3,Null,
//twitter.com/tynanwrites%E2%80%9D,3,Null,
https://www.facebook.com/cashmorepete,3,4041,Friends
https://twitter.com/beccasara,3,17005,
https://www.facebook.com/InterviewSuccessFormula,3,6638,
http://facebook.com/petersmeg,3,164527,
https://twitter.com/zsniderman,3,3243,
https://twitter.com/webbmedia,2,278,
https://twitter.com/burke_amy,2,392,
https://twitter.com/Recroup,2,Null,
http://www.facebook.com/kenosen,2,Null,
https://www.facebook.com/hourlyjobs,2,Null,
https://twitter.com/jessgood,2,7763,
https://twitter.com/techmama,2,,
https://twitter.com/aaronpitman,2,30517,
http://www.twitter.com/macala,2,8,
https://twitter.com/fkerrest,2,6577,
http://www.linkedin.com/company/2292697?trk=pro_other_cmpy,2,2000,
https://twitter.com/Looksharp,2,10597,
http://linkedin.com/in/holleywithane,2,Null,
https://twitter.com/knakao,2,3047,
https://twitter.com/natecooper,2,1479,
https://www.facebook.com/MedRepscom,2,5885,
http://www.linkedin.com/in/ericgrafstrom,2,3422,
https://www.linkedin.com/in/henryhelgeson,2,1940,
https://twitter.com/samslaughter215,2,1601,
https://twitter.com/findhire,2,Null,
https://twitter.com/YelenaShuster,1,784,
https://twitter.com/haideechu,1,1493,
http://facebook.com/staceypoliti,1,1179,Friends
https://twitter.com/adanzis,1,1770,
http://www.facebook.com/BGSmith27,1,Null,
https://twitter.com/claritypr,1,Null,
http://twitter.com/#!/rushkoff,1,54437,
http://www.linkedin.com/in/jamesmignano,1,Null,
https://twitter.com/thebouqs/,1,Null,
http://www.facebook.com/rmatzner,1,390,
https://twitter.com/julhalps,1,1363,
http://twitter.com/jobhuntorg,1,60211,
https://twitter.com/AdamSingolda,1,8934,
https://twitter.com/amratner,1,Null,
https://www.linkedin.com/in/stirlingcox,1,9035,
https://twitter.com/michts,1,593,
http://twitter.com/Callan_Paola,1,Null,
https://twitter.com/betallard,1,254,
https://twitter.com/_jennifershore,1,Null,
https://twitter.com/garyshapiro,1,32752,
http://twitter.com/ginag,1,9907,
https://twitter.com/musheroff,1,875,
https://www.facebook.com/JakeKrol,1,2638,
https://twitter.com/namelyhr,1,8918,
https://twitter.com/iamdylanhaas,1,746,
http://www.facebook.com/pages/Tamar-Weinberg/10476926715,1,Null,
https://twitter.com/wellthie,1,3052,
https://twitter.com/LolaAkinmade,1,14337,
https://www.facebook.com/ZAOcom,1,Null,
https://www.facebook.com/ClearCompany,1,1692,
https://www.linkedin.com/in/jakevillarreal,1,7270,
http://www.twitter.com/TweetsByJMiller,1,6,
https://www.linkedin.com/in/tcannon,1,1064,
https://twitter.com/#!/AskAaronLee,1,960703,
https://twitter.com/notleah,1,2022,
https://twitter.com/charphillips9,1,Null,
http://www.facebook.com/CareerLeaf,1,555,
总计,39644,,
